sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,event_past,event_present,beat_past,beat_present,pct_present,situation,label,confidence,why
top2016:1638,END OF WATCH,Stephen King,46,25,7,13,0,1,12,16,10,15,2,1,0.5714285714285714,dual,DUAL,high,"43% past / 57% present of 28, situation=dual"
top2016:637,BEFORE THE FALL,Noah Hawley,45,15,24,0,6,0,11,4,11,4,0,0,0.26666666666666666,dual,DUAL,high,"73% past / 27% present of 15, situation=dual"
top2016:2223,HOME,Harlan Coben,23,9,6,6,1,1,7,4,5,4,2,0,0.36363636363636365,dual,DUAL,high,"64% past / 36% present of 11, situation=dual"
top2016:4157,SMALL GREAT THINGS,Jodi Picoult,27,0,10,15,2,0,0,1,0,0,0,1,1.0,unclear,INSUFFICIENT,,only 1 event quotes
top2016:116,A GENTLEMAN IN MOSCOW,Amor Towles,77,24,36,17,0,0,28,1,23,1,5,0,0.034482758620689655,retrospective,PAST,high,"97% past / 3% present of 29, situation=retrospective"
top2016:1132,COMMONWEALTH,Ann Patchett,76,50,6,17,2,1,58,1,49,1,9,0,0.01694915254237288,retrospective,PAST,high,"98% past / 2% present of 59, situation=retrospective"
top2016:1704,EXTREME PREY,John Sandford,55,34,1,20,0,0,50,0,34,0,16,0,0.0,retrospective,PAST,high,"100% past / 0% present of 50, situation=retrospective"
top2016:1874,FOOL ME ONCE,Harlan Coben,49,21,16,12,0,0,24,0,21,0,3,0,0.0,retrospective,PAST,high,"100% past / 0% present of 24, situation=retrospective"
top2016:6728,THE WOMAN IN CABIN 10,Ruth Ware,48,38,1,8,0,1,35,7,31,7,4,0,0.16666666666666666,retrospective,PAST,high,"83% past / 17% present of 42, situation=retrospective"
top2016:5865,THE NEST,Cynthia D'Aprix Sweeney,45,29,8,8,0,0,34,0,29,0,5,0,0.0,retrospective,PAST,high,"100% past / 0% present of 34, situation=retrospective"
top2016:6428,THE SUMMER BEFORE THE WAR,Helen Simonson,45,14,4,26,0,1,30,0,14,0,16,0,0.0,retrospective,PAST,high,"100% past / 0% present of 30, situation=retrospective"
top2016:3725,RAZOR GIRL,Carl Hiaasen,38,27,0,10,1,0,34,0,27,0,7,0,0.0,retrospective,PAST,high,"100% past / 0% present of 34, situation=retrospective"
top2016:7022,TWO BY TWO,Nicholas Sparks,36,18,8,9,0,1,14,10,8,10,6,0,0.4166666666666667,retrospective,PAST,CONFLICT,"58% past / 42% present of 24, situation=retrospective"
top2016:6989,TRULY MADLY GUILTY,Liane Moriarty,27,23,1,2,0,1,24,0,23,0,1,0,0.0,retrospective,PAST,high,"100% past / 0% present of 24, situation=retrospective"
top2016:3145,MY NAME IS LUCY BARTON,Elizabeth Strout,26,14,10,2,0,0,16,0,14,0,2,0,0.0,retrospective,PAST,high,"100% past / 0% present of 16, situation=retrospective"
top2016:3263,NO MAN'S LAND,David Baldacci,25,13,0,11,1,0,19,0,13,0,6,0,0.0,retrospective,PAST,high,"100% past / 0% present of 19, situation=retrospective"
top2016:6678,THE WHISTLER,John Grisham,24,13,2,9,0,0,13,0,13,0,0,0,0.0,retrospective,PAST,high,"100% past / 0% present of 13, situation=retrospective"
top2016:4653,THE BLACK WIDOW,Daniel Silva,23,11,6,4,1,1,12,0,11,0,1,0,0.0,retrospective,PAST,high,"100% past / 0% present of 12, situation=retrospective"
top2016:5261,THE GIRLS,Emma Cline,23,17,6,0,0,0,17,0,17,0,0,0,0.0,retrospective,PAST,high,"100% past / 0% present of 17, situation=retrospective"
top2016:3225,NIGHT SCHOOL,Lee Child,22,10,2,8,0,2,15,0,10,0,5,0,0.0,retrospective,PAST,high,"100% past / 0% present of 15, situation=retrospective"
top2016:6757,THE WRONG SIDE OF GOODBYE,Michael Connelly,18,12,3,3,0,0,13,0,12,0,1,0,0.0,retrospective,PAST,high,"100% past / 0% present of 13, situation=retrospective"
top2016:5597,THE LAST MILE,David Baldacci,17,8,1,7,0,1,10,0,8,0,2,0,0.0,retrospective,PAST,high,"100% past / 0% present of 10, situation=retrospective"
top2016:1834,FIRST COMES LOVE,Emily Giffin,22,15,6,0,0,1,4,11,4,11,0,0,0.7333333333333333,simultaneous,PRESENT,high,"27% past / 73% present of 15, situation=simultaneous"
